Date,Open,Close,High,Low,Volume
4-Jan-16,230.720001,223.410004,231.380005,219,6827100
5-Jan-16,226.360001,223.429993,226.889999,220,3186800
6-Jan-16,220,219.039993,220.050003,215.979996,3779100
7-Jan-16,214.190002,215.649994,218.440002,213.669998,3554300
8-Jan-16,217.860001,211,220.440002,210.770004,3628100
11-Jan-16,214.009995,207.850006,214.449997,203,4089700
12-Jan-16,211.600006,209.970001,213.740005,205.309998,3091900
13-Jan-16,212.009995,200.309998,212.649994,200,4126400
14-Jan-16,202.210007,206.179993,210,193.380005,6490700
15-Jan-16,198.970001,204.990005,205.070007,197.25,5578600
19-Jan-16,208.710007,204.720001,210.470001,200.779999,4038700
20-Jan-16,199.399994,198.699997,201.279999,191.25,5838600
21-Jan-16,201.550003,199.970001,203.229996,195.020004,3166200
22-Jan-16,204.800003,202.550003,205.5,199.029999,3124100
25-Jan-16,200.059998,196.380005,203.570007,195.880005,2698700
26-Jan-16,196.699997,193.559998,197.820007,188.880005,4946800
27-Jan-16,192.380005,188.070007,193.259995,185.770004,3617200
28-Jan-16,190.789993,189.699997,191.279999,182.410004,4592800
29-Jan-16,189.949997,191.199997,193.740005,188.080002,2852300
1-Feb-16,188.759995,196.940002,199.520004,182.75,5297600
2-Feb-16,192.419998,182.779999,193.119995,180.229996,5773600
3-Feb-16,183.589996,173.479996,183.940002,170.179993,7931400
4-Feb-16,170.699997,175.330002,175.979996,166.990005,4363900
5-Feb-16,171.300003,162.600006,173,157.740005,9437600
8-Feb-16,157.100006,147.990005,157.149994,146,9313000
9-Feb-16,142.320007,148.25,159.789993,141.050003,8575100
10-Feb-16,150.5,143.669998,154.970001,141.740005,10406500
11-Feb-16,152,150.470001,163.259995,147,14252400
12-Feb-16,155,151.039993,157.009995,143.699997,7235800
16-Feb-16,158.699997,155.169998,162.949997,154.110001,5593800
17-Feb-16,159,168.679993,169.339996,156.679993,5825200
18-Feb-16,172.419998,166.770004,172.949997,164.770004,3887600
